,onwind,solar,load
1,0.749905792,0,1408.29
2,0.743241716,0,1371.35
3,0.735164851,0,1336.41
4,0.706298331,0,1321.28
5,0.668160957,0,1400.29
6,0.623158195,0,1514.77
7,0.596369622,0,1770.52
8,0.529528021,0.032726915,2042.32
9,0.493868805,0.339955691,2200.9
10,0.272061328,0.561343372,2282.66
11,0.20225348,0.520608937,2346.79
12,0.212462952,0.450633612,2361.46
13,0.301798241,0.42659647,2315.82
14,0.355903541,0.305096431,2250.8
15,0.425253143,0.190694245,2122.71
16,0.568162034,0.099716945,2041.97
17,0.595156478,0.00907265,2038.67
18,0.586372221,0,2171.32
19,0.570316899,0,2190.08
20,0.601686747,0,2170.91
21,0.607568168,0,2029.82
22,0.63791684,0,1865.58
23,0.613257987,0,1696.7
24,0.658840428,0,1538.34
25,0.716074346,0,1414.51
26,0.734037051,0,1348.9
27,0.726885211,0,1337.12
28,0.694901513,0,1346.17
29,0.67267997,0,1388.26
30,0.573619431,0,1500.57
31,0.509072659,0,1734.41
32,0.457292734,0.029469972,1987.33
33,0.442143206,0.31893371,2152.91
34,0.392997824,0.284022482,2282.63
35,0.336690782,0.146711011,2308.19
36,0.332128859,0.167494086,2333.58
37,0.254596938,0.195157752,2339.53
38,0.195336813,0.198597581,2257.36
39,0.18102795,0.181538934,2110.67
40,0.181721605,0.130761737,2025.14
41,0.219553736,0.012629772,2010.72
42,0.266657153,0,2176.34
43,0.341527652,0,2231.72
44,0.306593205,0,2196.91
45,0.407867098,0,2066.37
46,0.595006296,0,1910.98
47,0.768387092,0,1719.4
48,0.795229515,0,1516.12
49,0.7998132,0,1404.2
50,0.804184732,0,1339.02
51,0.800686738,0,1316.66
52,0.80163909,0,1316.65
53,0.799141204,0,1372.06
54,0.7954143,0,1467.25
55,0.795334391,0,1724.87
56,0.795313175,0.046129745,2018.4
57,0.78232049,0.436949127,2181.4
58,0.778690634,0.669527991,2287.54
59,0.745352174,0.612043822,2319.04
60,0.69675352,0.541243975,2340.8
61,0.668554425,0.539280593,2334.16
62,0.642882417,0.607655952,2237.25
63,0.616913858,0.668295975,2109.88
64,0.629143817,0.438942131,2035.4
65,0.590030196,0.046824285,2042.79
66,0.644905445,0,2142.66
67,0.690752791,0,2202.33
68,0.704924415,0,2198.14
69,0.735431572,0,2029.03
70,0.6927626,0,1910.8
71,0.591667833,0,1708.02
72,0.501489385,0,1524.52
73,0.439122241,0,1415.62
74,0.397171976,0,1334.22
75,0.397238571,0,1302.41
76,0.397549469,0,1300.07
77,0.377236542,0,1365.19
78,0.435164599,0,1480.99
79,0.485914215,0,1739.93
80,0.503889323,0.019611406,2001.2
81,0.506232934,0.180699625,2180.37
82,0.372779971,0.292628755,2275.27
83,0.296138017,0.366921302,2299.62
84,0.408466102,0.418997083,2326.63
85,0.542321561,0.505770678,2321.47
86,0.615198122,0.577518513,2224.25
87,0.620844596,0.586752893,2113.07
88,0.570844492,0.42605646,2030.23
89,0.619592647,0.048628671,2044.87
90,0.663395279,0,2213.99
91,0.697746846,0,2236.89
92,0.727680107,0,2226.39
93,0.770981523,0,2048.59
94,0.777097378,0,1890.01
95,0.760537988,0,1723.93
96,0.755606203,0,1543.79
97,0.745973106,0,1417.95
98,0.758335843,0,1360.78
99,0.756932413,0,1339.32
100,0.754387395,0,1345.7
101,0.73046035,0,1403.41
102,0.735329874,0,1536.56
103,0.740883575,0,1787.12
104,0.743905941,0.0419138,2068.69
105,0.749359684,0.411061315,2234.98
106,0.679529634,0.652573568,2284.56
107,0.64548875,0.60937762,2303.14
108,0.60008718,0.534753509,2348.16
109,0.535886532,0.53225328,2324.75
110,0.525641027,0.600716608,2221.74
111,0.50848312,0.656709964,2103.77
112,0.500321937,0.302099877,2044.37
113,0.655413869,0.030807221,2057.93
114,0.712278471,0,2203.58
115,0.702327699,0,2247.12
116,0.713648426,0,2234.64
117,0.688895899,0,2071.87
118,0.623966083,0,1914.11
119,0.565144299,0,1747.54
120,0.49550556,0,1543.66
121,0.403159296,0,1380.22
122,0.32666367,0,1315.16
123,0.268096086,0,1296.02
124,0.162400739,0,1270.91
125,0.107360133,0,1287
126,0.074434195,0,1315.17
127,0.061935939,0,1414.1
128,0.052249674,0.022587366,1492.33
129,0.058914816,0.193492649,1603.2
130,0.047816997,0.387357292,1644.41
131,0.021485933,0.314229668,1658.47
132,0.009284059,0.285221449,1649.29
133,0.008193817,0.23874732,1637.3
134,0.005981925,0.211393649,1629.28
135,0.003354999,0.364976613,1640.34
136,0.003312124,0.277569991,1644
137,0.004513188,0.035484613,1722.24
138,0.009431364,0,1943.87
139,0.002851065,0,2035.24
140,0.001307009,0,2046.22
141,0.003129843,0,2006.77
142,0.007589002,0,1874.28
143,0.002453984,0,1677.66
144,0.000915703,0,1527.99
145,0.004822885,0,1296.78
146,0.006583351,0,1215.03
147,0.03364284,0,1233.82
148,0.072072099,0,1217.33
149,0.112310262,0,1207.85
150,0.196877042,0,1297.88
151,0.292028194,0,1307.44
152,0.429482248,0.002740768,1361.4
153,0.542311212,0.034893475,1513.99
154,0.510612779,0.101216265,1605.24
155,0.567113166,0.102543929,1548.42
156,0.626598711,0.107373305,1540.63
157,0.641582478,0.136770191,1516.5
158,0.6273556,0.137903918,1486.37
159,0.622871465,0.098205052,1556.14
160,0.648372328,0.103126126,1528.11
161,0.609131401,0.014655054,1559.84
162,0.561617983,0,1713.45
163,0.452222721,0,1825.37
164,0.378982663,0,1838.08
165,0.358191062,0,1795.43
166,0.299136006,0,1679.39
167,0.42109427,0,1549.98
168,0.448970186,0,1345.21
169,0.411805082,0,1366.78
170,0.432296002,0,1333.07
171,0.42235861,0,1327.95
172,0.410060175,0,1321.93
173,0.371486528,0,1364.49
174,0.305214563,0,1490.47
175,0.243615983,0,1745.22
176,0.193907669,0.019766309,2024.37
177,0.145175568,0.182961323,2195.32
178,0.089025173,0.377672945,2291.39
179,0.065133374,0.334642844,2317.01
180,0.102857624,0.313566673,2335.83
181,0.070764253,0.291020352,2315.31
182,0.090504422,0.298892459,2227.13
183,0.183080069,0.226144576,2111.15
184,0.157508163,0.084968006,2034.94
185,0.300252299,0.007404784,2037.15
186,0.435135591,0,2170
187,0.625485457,0,2207.56
188,0.600862053,0,2210.16
189,0.696158288,0,2065.47
190,0.743187104,0,1894.95
191,0.771471793,0,1716.09
192,0.786268354,0,1545.18
193,0.787703512,0,1411
194,0.796226995,0,1331.53
195,0.799959688,0,1307.4
196,0.801583526,0,1304.24
197,0.803607791,0,1366.8
198,0.804684743,0,1470.01
199,0.805373605,0,1742.62
200,0.805774625,0.042893047,2004.73
201,0.805775587,0.418617557,2177.43
202,0.805500199,0.664064993,2293.35
203,0.805559371,0.621116572,2327.54
204,0.805628353,0.559871108,2350.87
205,0.805619901,0.55579857,2352.74
206,0.805839055,0.617150812,2267.79
207,0.805886671,0.67358036,2157.84
208,0.805057032,0.472257149,2075.97
209,0.805754989,0.071311853,2052.02
210,0.805886671,0,2200.94
211,0.805858147,0,2227.64
212,0.805836421,0,2200.75
213,0.805698395,0,2065.39
214,0.805847553,0,1858.11
215,0.805333616,0,1687
216,0.805282848,0,1512.13
217,0.79858885,0,1388.37
218,0.790482869,0,1318.33
219,0.793485896,0,1301.46
220,0.802905838,0,1304.06
221,0.805003296,0,1350.85
222,0.796331977,0,1476.23
223,0.788347843,0,1724.36
224,0.740125087,0.052415965,1998.28
225,0.764670822,0.459376691,2170.2
226,0.742522893,0.699594682,2293.63
227,0.743345344,0.63870284,2348.97
228,0.759081306,0.549257202,2359.78
229,0.751360702,0.492929361,2340.94
230,0.736037666,0.562161679,2249.22
231,0.75563854,0.596558347,2165.9
232,0.738885388,0.420091363,2081.39
233,0.751039642,0.062551829,2053.52
234,0.778028475,0,2189.13
235,0.775421433,0,2212.52
236,0.747422389,0,2190.24
237,0.690074975,0,2035.56
238,0.591552651,0,1864.88
239,0.509716016,0,1692.09
240,0.502718018,0,1509.4
241,0.484473193,0,1397.05
242,0.482817678,0,1305.47
243,0.474642654,0,1281.22
244,0.476060646,0,1298.15
245,0.451259044,0,1352.16
246,0.434927867,0,1471.3
247,0.406900711,0,1733.26
248,0.359877303,0.014446099,2031.83
249,0.333307091,0.198766121,2203.13
250,0.204649966,0.510879024,2299.21
251,0.127703114,0.336362094,2331.09
252,0.08145451,0.318900192,2362.69
253,0.046047672,0.388085439,2349.43
254,0.013640191,0.326219597,2258.94
255,0.002255114,0.351336373,2124.11
256,0.001876063,0.305319242,2047.82
257,0.01223377,0.047267156,2056.62
258,0.052025565,0,2176.45
259,0.125036166,0,2219.92
260,0.22962629,0,2173.79
261,0.346714924,0,2045.92
262,0.475717176,0,1877.74
263,0.636243222,0,1703.87
264,0.663844202,0,1505.55
265,0.738183996,0,1388.21
266,0.776719399,0,1303.09
267,0.788640804,0,1282.79
268,0.784297191,0,1293.88
269,0.787033356,0,1354.29
270,0.766636401,0,1499.42
271,0.738296063,0,1777.49
272,0.788078018,0.039694913,2058.19
273,0.801904119,0.381935525,2230.33
