Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,16051,Jefferson County,Idaho,1105.71,Crop,70,0,dt,0,BTU,0,15722000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,19027,Carroll County,Iowa,570.28,Crop,70,0,dt,0,BTU,0,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,19101,Jefferson County,Iowa,436.88,Crop,70,59314,dt,9.32535E+11,BTU,135.77,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,13221,Oglethorpe County,Georgia,442.04,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,16071,Oneida County,Idaho,1200.49,Crop,70,0,dt,0,BTU,0,15722000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,27111,Otter Tail County,Minnesota,2224.33,Crop,70,0,dt,0,BTU,0,14892000,Lake States
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,20079,Harvey County,Kansas,540.72,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,53071,Walla Walla County,Washington,1298.96,Crop,70,0,dt,0,BTU,0,14892000,Pacific
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,12023,Columbia County,Florida,801.32,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,01113,Russell County,Alabama,647.19,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,08001,Adams County,Colorado,1183.61,Crop,70,0,dt,0,BTU,0,15722000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,19123,Mahaska County,Iowa,573.4,Crop,70,269100,dt,4.23079E+12,BTU,469.31,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,12001,Alachua County,Florida,968.81,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,01031,Coffee County,Alabama,680.5,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,19045,Clinton County,Iowa,710.18,Crop,70,455502,dt,7.1614E+12,BTU,641.39,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,30101,Toole County,Montana,1945,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,16013,Blaine County,Idaho,2654.98,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,48389,Reeves County,Texas,2642.07,Crop,70,0,dt,0,BTU,0,14892000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,30063,Missoula County,Montana,2617.94,Crop,70,180,dt,2680560000,BTU,0.07,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,18183,Whitley County,Indiana,337.91,Crop,70,104651,dt,1.64532E+12,BTU,309.7,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,19041,Clay County,Iowa,572.59,Crop,70,310183,dt,4.8767E+12,BTU,541.72,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,17071,Henderson County,Illinois,395.23,Crop,70,163815,dt,2.5755E+12,BTU,414.48,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,05037,Cross County,Arkansas,622.26,Crop,70,0,dt,0,BTU,0,15722000,Delta States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,01077,Lauderdale County,Alabama,719.6,Crop,70,35975,dt,5.65599E+11,BTU,49.99,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,31033,Cheyenne County,Nebraska,1196.12,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,27107,Norman County,Minnesota,876.73,Crop,70,0,dt,0,BTU,0,14892000,Lake States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,18163,Vanderburgh County,Indiana,236.86,Crop,70,44023,dt,6.9213E+11,BTU,185.86,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,30039,Granite County,Montana,1732.78,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,38017,Cass County,North Dakota,1767.81,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,53073,Whatcom County,Washington,2164.09,Crop,70,0,dt,0,BTU,0,14892000,Pacific
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,40039,Custer County,Oklahoma,1002.03,Crop,70,0,dt,0,BTU,0,14892000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,06029,Kern County,California,8164.92,Crop,70,0,dt,0,BTU,0,14892000,Pacific
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,08001,Adams County,Colorado,1183.61,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,19033,Cerro Gordo County,Iowa,575.12,Crop,70,640364,dt,1.00678E+13,BTU,1113.44,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,56029,Park County,Wyoming,6965.15,Crop,70,21387,dt,3.18495E+11,BTU,3.07,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,12013,Calhoun County,Florida,574.31,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,01065,Hale County,Alabama,656.5,Crop,70,0,dt,0,BTU,0,15722000,Southeast
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,30073,Pondera County,Montana,1641.57,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,16027,Canyon County,Idaho,603.7,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,17073,Henry County,Illinois,825.69,Crop,70,898437,dt,1.41252E+13,BTU,1088.1,15722000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Barley straw,POLYSYS,38087,Slope County,North Dakota,1219.51,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
