Scenario Name,Material Class,SubClass,Resource Name,Diameter Class,Owner,Fips Code,County,State,Sqmi,Scenario Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,Harvest Costs,Harvest Area,Harvest Area Unit,Lipid Based,Ash Percentage
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,47009,Blount County,Tennessee,566.6,40,235.4,dt,4088427200,BTU,0.42,16.77,29.1,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,27131,Rice County,Minnesota,515.94,40,2076.6,dt,36066388800,BTU,4.02,16.77,207.1,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,20081,Haskell County,Kansas,577.88,40,37.4,dt,649563200,BTU,0.06,16.77,3.3,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,44005,Newport County,Rhode Island,105.95,40,15.4,dt,267467200,BTU,0.15,16.77,1.6,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,18007,Benton County,Indiana,406.51,40,63.2,dt,1097657600,BTU,0.16,16.77,7.7,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,53039,Klickitat County,Washington,1904.43,40,5549.7,dt,96387189600,BTU,2.91,16.77,416.1,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,31107,Knox County,Nebraska,1139.72,40,2781.1,dt,48302144800,BTU,2.44,16.77,279.7,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,27035,Crow Wing County,Minnesota,1156.55,40,2911.2,dt,50561721600,BTU,2.52,16.77,408.3,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,47117,Marshall County,Tennessee,376.16,40,641.9,dt,11148519200,BTU,1.71,16.77,80.9,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,27085,McLeod County,Minnesota,505.58,40,257.5,dt,4472260000,BTU,0.51,16.77,25.2,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,20069,Gray County,Kansas,869.3,40,137.1,dt,2381152800,BTU,0.16,16.77,12,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,21171,Monroe County,Kentucky,332.06,40,2252.2,dt,39116209600,BTU,6.78,16.77,195.7,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,47001,Anderson County,Tennessee,344.8,40,359.2,dt,6238585600,BTU,1.04,16.77,44.4,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,53027,Grays Harbor County,Washington,1928.97,40,7616.9,dt,1.3229E+11,BTU,3.95,16.77,726,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,29071,Franklin County,Missouri,930.68,40,4350.3,dt,75556010400,BTU,4.67,16.77,543.7,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,40129,Roger Mills County,Oklahoma,1146.42,40,3.4,dt,59051200,BTU,0,16.77,1.4,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,13047,Catoosa County,Georgia,162.46,40,124.9,dt,2169263200,BTU,0.77,16.77,28.5,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,29186,Ste. Genevieve County,Missouri,506.77,40,2442.8,dt,42426550400,BTU,4.82,16.77,305.3,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,51155,Pulaski County,Virginia,329.44,40,224.1,dt,3892168800,BTU,0.68,16.77,28.3,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,20099,Labette County,Kansas,653.12,40,1066.9,dt,18529919200,BTU,1.63,16.77,114.6,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,37061,Duplin County,North Carolina,820.22,40,919.5,dt,15969876000,BTU,1.12,16.77,88.9,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,08055,Huerfano County,Colorado,1593.27,40,78,dt,1354704000,BTU,0.05,16.77,61,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Public,26097,Mackinac County,Michigan,1064.24,40,565.4,dt,9819867200,BTU,0.53,16.77,58.9,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,29041,Chariton County,Missouri,766.76,40,594.9,dt,10332223200,BTU,0.78,16.77,53,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,29195,Saline County,Missouri,766.92,40,736.3,dt,12788058400,BTU,0.96,16.77,73.3,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,29003,Andrew County,Missouri,436.37,40,912.8,dt,15853510400,BTU,2.09,16.77,109.6,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,42089,Monroe County,Pennsylvania,617.11,40,4897.2,dt,85054569600,BTU,7.94,16.77,485.2,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,19159,Ringgold County,Iowa,538.87,40,658.1,dt,11429880800,BTU,1.22,16.77,86.2,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,34005,Burlington County,New Jersey,814.31,40,656.7,dt,11405565600,BTU,0.81,16.77,74.1,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,28035,Forrest County,Mississippi,470.24,40,678.2,dt,11778977600,BTU,1.44,16.77,75.1,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,19093,Ida County,Iowa,432.05,40,24.1,dt,418568800,BTU,0.06,16.77,3.8,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,21049,Clark County,Kentucky,255.16,40,906.8,dt,15749302400,BTU,3.55,16.77,98.7,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,20207,Woodson County,Kansas,505.25,40,1219.3,dt,21176802400,BTU,2.41,16.77,131,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,29199,Scotland County,Missouri,439.29,40,1323.9,dt,22993495200,BTU,3.01,16.77,176.8,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,40085,Love County,Oklahoma,532.25,40,1622.8,dt,28184790400,BTU,3.05,16.77,252.4,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,28047,Harrison County,Mississippi,581.04,40,113,dt,1962584000,BTU,0.19,16.77,12.5,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,27033,Cottonwood County,Minnesota,648.56,40,261.5,dt,4541732000,BTU,0.4,16.77,33.2,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,21173,Montgomery County,Kentucky,198.84,40,961.7,dt,16702805600,BTU,4.84,16.77,104.6,ac,No,0.95
mature-market medium,wood,Logging residues,Hardwood lowland logging residues,Class 1,Public,18089,Lake County,Indiana,504.1,40,15.6,dt,270940800,BTU,0.03,16.77,2.4,ac,No,0.95
