Delivery Date,Hour Ending,total_lmp_da
01/01/2022,01:00,32.69
01/01/2022,02:00,24.62
01/01/2022,03:00,22.2
01/01/2022,04:00,17.25
01/01/2022,05:00,10.76
01/01/2022,06:00,13.28
01/01/2022,07:00,13.04
01/01/2022,08:00,13.94
01/01/2022,09:00,14.03
01/01/2022,10:00,14.4
01/01/2022,11:00,16.13
01/01/2022,12:00,18.98
01/01/2022,13:00,19.76
01/01/2022,14:00,20.81
01/01/2022,15:00,21.09
01/01/2022,16:00,19.96
01/01/2022,17:00,26.6
01/01/2022,18:00,39.8
01/01/2022,19:00,27.37
01/01/2022,20:00,24.03
01/01/2022,21:00,21.11
01/01/2022,22:00,20.49
01/01/2022,23:00,22.41
01/01/2022,24:00,21.98
01/02/2022,01:00,25.9
01/02/2022,02:00,24.14
01/02/2022,03:00,23.4
01/02/2022,04:00,21.84
01/02/2022,05:00,21.89
01/02/2022,06:00,24.19
01/02/2022,07:00,28.51
01/02/2022,08:00,35.53
01/02/2022,09:00,43.0
01/02/2022,10:00,35.58
01/02/2022,11:00,33.85
01/02/2022,12:00,32.78
01/02/2022,13:00,29.71
01/02/2022,14:00,26.43
01/02/2022,15:00,25.5
01/02/2022,16:00,25.05
01/02/2022,17:00,30.23
01/02/2022,18:00,80.14
01/02/2022,19:00,93.66
01/02/2022,20:00,71.32
01/02/2022,21:00,61.81
01/02/2022,22:00,48.16
01/02/2022,23:00,39.2
01/02/2022,24:00,36.78
01/03/2022,01:00,31.0
01/03/2022,02:00,30.47
01/03/2022,03:00,30.05
01/03/2022,04:00,29.67
01/03/2022,05:00,30.89
01/03/2022,06:00,39.28
01/03/2022,07:00,94.32
01/03/2022,08:00,100.12
01/03/2022,09:00,47.26
01/03/2022,10:00,33.75
01/03/2022,11:00,28.85
01/03/2022,12:00,26.92
01/03/2022,13:00,26.42
01/03/2022,14:00,24.84
01/03/2022,15:00,23.95
01/03/2022,16:00,22.89
01/03/2022,17:00,26.45
01/03/2022,18:00,47.0
01/03/2022,19:00,34.74
01/03/2022,20:00,30.19
01/03/2022,21:00,28.32
01/03/2022,22:00,25.46
01/03/2022,23:00,24.08
01/03/2022,24:00,21.96
01/04/2022,01:00,14.56
01/04/2022,02:00,13.66
01/04/2022,03:00,14.55
01/04/2022,04:00,15.61
01/04/2022,05:00,19.3
01/04/2022,06:00,22.02
01/04/2022,07:00,32.37
01/04/2022,08:00,33.17
01/04/2022,09:00,26.92
01/04/2022,10:00,20.68
01/04/2022,11:00,17.88
01/04/2022,12:00,17.1
01/04/2022,13:00,15.23
01/04/2022,14:00,14.35
01/04/2022,15:00,13.8
01/04/2022,16:00,13.73
01/04/2022,17:00,19.84
01/04/2022,18:00,43.77
01/04/2022,19:00,33.92
01/04/2022,20:00,29.05
01/04/2022,21:00,25.93
01/04/2022,22:00,24.43
01/04/2022,23:00,25.63
01/04/2022,24:00,24.1
01/05/2022,01:00,22.65
01/05/2022,02:00,21.81
01/05/2022,03:00,21.99
01/05/2022,04:00,22.29
01/05/2022,05:00,24.56
01/05/2022,06:00,29.21
01/05/2022,07:00,32.73
01/05/2022,08:00,34.62
01/05/2022,09:00,27.58
01/05/2022,10:00,23.85
01/05/2022,11:00,23.28
01/05/2022,12:00,23.57
01/05/2022,13:00,23.56
01/05/2022,14:00,23.21
01/05/2022,15:00,22.89
01/05/2022,16:00,22.64
01/05/2022,17:00,24.83
01/05/2022,18:00,60.05
01/05/2022,19:00,47.12
01/05/2022,20:00,34.34
01/05/2022,21:00,31.14
01/05/2022,22:00,25.19
01/05/2022,23:00,26.82
01/05/2022,24:00,25.1
01/06/2022,01:00,25.08
01/06/2022,02:00,23.04
01/06/2022,03:00,22.66
01/06/2022,04:00,21.51
01/06/2022,05:00,22.19
01/06/2022,06:00,23.83
01/06/2022,07:00,26.45
01/06/2022,08:00,25.6
01/06/2022,09:00,20.03
01/06/2022,10:00,17.29
01/06/2022,11:00,17.12
01/06/2022,12:00,19.14
01/06/2022,13:00,22.41
01/06/2022,14:00,24.96
01/06/2022,15:00,24.88
01/06/2022,16:00,25.57
01/06/2022,17:00,28.75
01/06/2022,18:00,61.37
01/06/2022,19:00,54.36
01/06/2022,20:00,46.33
01/06/2022,21:00,42.71
01/06/2022,22:00,30.65
01/06/2022,23:00,29.68
01/06/2022,24:00,30.07
01/07/2022,01:00,29.09
01/07/2022,02:00,28.37
01/07/2022,03:00,28.13
01/07/2022,04:00,28.71
01/07/2022,05:00,31.25
01/07/2022,06:00,34.5
01/07/2022,07:00,79.09
01/07/2022,08:00,66.48
01/07/2022,09:00,40.73
01/07/2022,10:00,29.64
01/07/2022,11:00,26.67
01/07/2022,12:00,26.73
01/07/2022,13:00,24.14
01/07/2022,14:00,23.49
01/07/2022,15:00,18.44
01/07/2022,16:00,16.62
01/07/2022,17:00,18.46
01/07/2022,18:00,25.31
01/07/2022,19:00,24.2
01/07/2022,20:00,19.82
01/07/2022,21:00,18.68
01/07/2022,22:00,18.5
01/07/2022,23:00,19.4
01/07/2022,24:00,18.87
01/08/2022,01:00,22.58
01/08/2022,02:00,19.68
01/08/2022,03:00,18.05
01/08/2022,04:00,17.54
01/08/2022,05:00,18.19
01/08/2022,06:00,18.3
01/08/2022,07:00,18.75
01/08/2022,08:00,23.31
01/08/2022,09:00,27.22
01/08/2022,10:00,25.99
01/08/2022,11:00,22.66
01/08/2022,12:00,23.76
01/08/2022,13:00,21.53
01/08/2022,14:00,20.1
01/08/2022,15:00,17.39
01/08/2022,16:00,17.72
01/08/2022,17:00,23.14
01/08/2022,18:00,49.83
01/08/2022,19:00,43.14
01/08/2022,20:00,30.88
01/08/2022,21:00,25.37
01/08/2022,22:00,24.14
01/08/2022,23:00,26.1
01/08/2022,24:00,22.77
01/09/2022,01:00,24.3
01/09/2022,02:00,18.82
01/09/2022,03:00,17.62
01/09/2022,04:00,16.48
01/09/2022,05:00,16.52
01/09/2022,06:00,15.51
01/09/2022,07:00,16.47
01/09/2022,08:00,16.95
01/09/2022,09:00,17.98
01/09/2022,10:00,17.49
01/09/2022,11:00,17.36
01/09/2022,12:00,17.66
01/09/2022,13:00,17.87
01/09/2022,14:00,17.87
01/09/2022,15:00,17.64
01/09/2022,16:00,21.5
01/09/2022,17:00,24.57
01/09/2022,18:00,41.95
01/09/2022,19:00,43.56
01/09/2022,20:00,38.52
01/09/2022,21:00,38.0
01/09/2022,22:00,33.64
01/09/2022,23:00,28.07
01/09/2022,24:00,26.69
01/10/2022,01:00,28.59
01/10/2022,02:00,24.86
01/10/2022,03:00,26.14
01/10/2022,04:00,27.26
01/10/2022,05:00,30.06
01/10/2022,06:00,37.07
01/10/2022,07:00,58.22
01/10/2022,08:00,61.3
01/10/2022,09:00,42.24
01/10/2022,10:00,30.85
01/10/2022,11:00,27.13
01/10/2022,12:00,25.56
01/10/2022,13:00,24.13
01/10/2022,14:00,23.26
01/10/2022,15:00,22.72
01/10/2022,16:00,23.05
01/10/2022,17:00,26.29
01/10/2022,18:00,72.81
01/10/2022,19:00,69.88
01/10/2022,20:00,43.73
01/10/2022,21:00,41.67
01/10/2022,22:00,31.72
01/10/2022,23:00,35.27
01/10/2022,24:00,31.44
01/11/2022,01:00,32.21
01/11/2022,02:00,28.23
01/11/2022,03:00,26.22
01/11/2022,04:00,25.93
01/11/2022,05:00,28.75
01/11/2022,06:00,36.16
01/11/2022,07:00,58.64
01/11/2022,08:00,62.56
01/11/2022,09:00,43.56
01/11/2022,10:00,40.77
01/11/2022,11:00,31.2
01/11/2022,12:00,27.97
01/11/2022,13:00,25.25
01/11/2022,14:00,24.41
01/11/2022,15:00,23.75
01/11/2022,16:00,24.09
01/11/2022,17:00,26.51
01/11/2022,18:00,65.47
01/11/2022,19:00,50.11
01/11/2022,20:00,30.88
01/11/2022,21:00,32.08
01/11/2022,22:00,29.8
01/11/2022,23:00,29.57
01/11/2022,24:00,27.8
01/12/2022,01:00,24.03
01/12/2022,02:00,23.68
01/12/2022,03:00,24.56
01/12/2022,04:00,25.06
01/12/2022,05:00,29.34
01/12/2022,06:00,36.16
01/12/2022,07:00,57.7
01/12/2022,08:00,58.84
01/12/2022,09:00,43.83
01/12/2022,10:00,30.36
01/12/2022,11:00,30.0
01/12/2022,12:00,27.18
01/12/2022,13:00,25.4
01/12/2022,14:00,25.04
01/12/2022,15:00,24.6
01/12/2022,16:00,24.4
01/12/2022,17:00,26.69
01/12/2022,18:00,65.61
01/12/2022,19:00,63.41
01/12/2022,20:00,46.02
01/12/2022,21:00,45.1
01/12/2022,22:00,37.87
01/12/2022,23:00,33.33
01/12/2022,24:00,32.81
01/13/2022,01:00,31.21
01/13/2022,02:00,28.23
01/13/2022,03:00,27.74
01/13/2022,04:00,27.27
01/13/2022,05:00,28.01
01/13/2022,06:00,38.78
01/13/2022,07:00,54.62
01/13/2022,08:00,57.12
01/13/2022,09:00,42.8
01/13/2022,10:00,34.06
01/13/2022,11:00,28.82
01/13/2022,12:00,28.02
01/13/2022,13:00,27.52
01/13/2022,14:00,26.67
01/13/2022,15:00,25.88
01/13/2022,16:00,25.84
01/13/2022,17:00,28.08
01/13/2022,18:00,61.38
01/13/2022,19:00,61.23
01/13/2022,20:00,43.53
01/13/2022,21:00,38.86
01/13/2022,22:00,32.08
01/13/2022,23:00,32.68
01/13/2022,24:00,29.74
01/14/2022,01:00,31.14
01/14/2022,02:00,28.58
01/14/2022,03:00,25.87
01/14/2022,04:00,24.27
01/14/2022,05:00,26.69
01/14/2022,06:00,32.72
01/14/2022,07:00,47.87
01/14/2022,08:00,38.28
01/14/2022,09:00,32.93
01/14/2022,10:00,31.68
01/14/2022,11:00,27.77
01/14/2022,12:00,27.11
01/14/2022,13:00,22.21
01/14/2022,14:00,19.63
01/14/2022,15:00,18.55
01/14/2022,16:00,18.73
01/14/2022,17:00,28.24
01/14/2022,18:00,51.16
01/14/2022,19:00,30.54
01/14/2022,20:00,24.01
01/14/2022,21:00,21.09
01/14/2022,22:00,17.88
01/14/2022,23:00,15.28
01/14/2022,24:00,12.01
01/15/2022,01:00,8.29
01/15/2022,02:00,8.57
01/15/2022,03:00,8.85
01/15/2022,04:00,9.99
01/15/2022,05:00,12.22
01/15/2022,06:00,12.3
01/15/2022,07:00,20.49
01/15/2022,08:00,18.88
01/15/2022,09:00,19.31
01/15/2022,10:00,19.11
01/15/2022,11:00,20.53
01/15/2022,12:00,20.97
01/15/2022,13:00,19.41
01/15/2022,14:00,17.48
01/15/2022,15:00,17.16
01/15/2022,16:00,16.55
01/15/2022,17:00,17.41
01/15/2022,18:00,36.24
01/15/2022,19:00,40.82
01/15/2022,20:00,39.79
01/15/2022,21:00,43.02
01/15/2022,22:00,44.63
01/15/2022,23:00,42.36
01/15/2022,24:00,40.56
01/16/2022,01:00,36.57
01/16/2022,02:00,34.76
01/16/2022,03:00,36.12
01/16/2022,04:00,37.47
01/16/2022,05:00,40.12
01/16/2022,06:00,42.2
01/16/2022,07:00,66.45
01/16/2022,08:00,70.22
01/16/2022,09:00,51.49
01/16/2022,10:00,35.96
01/16/2022,11:00,32.37
01/16/2022,12:00,29.52
01/16/2022,13:00,27.18
01/16/2022,14:00,26.33
01/16/2022,15:00,25.33
01/16/2022,16:00,25.14
01/16/2022,17:00,27.34
01/16/2022,18:00,57.39
01/16/2022,19:00,58.56
01/16/2022,20:00,45.03
01/16/2022,21:00,40.33
01/16/2022,22:00,35.72
01/16/2022,23:00,35.78
01/16/2022,24:00,31.33
01/17/2022,01:00,28.7
01/17/2022,02:00,27.55
01/17/2022,03:00,28.35
01/17/2022,04:00,30.25
01/17/2022,05:00,36.12
01/17/2022,06:00,42.83
01/17/2022,07:00,86.73
01/17/2022,08:00,89.77
01/17/2022,09:00,51.94
01/17/2022,10:00,36.16
01/17/2022,11:00,33.97
01/17/2022,12:00,31.44
01/17/2022,13:00,29.83
01/17/2022,14:00,27.54
01/17/2022,15:00,25.82
01/17/2022,16:00,24.93
01/17/2022,17:00,26.52
01/17/2022,18:00,43.94
01/17/2022,19:00,35.95
01/17/2022,20:00,29.02
01/17/2022,21:00,25.04
01/17/2022,22:00,21.74
01/17/2022,23:00,18.79
01/17/2022,24:00,16.66
01/18/2022,01:00,13.84
01/18/2022,02:00,13.63
01/18/2022,03:00,13.68
01/18/2022,04:00,14.12
01/18/2022,05:00,16.44
01/18/2022,06:00,25.23
01/18/2022,07:00,36.52
01/18/2022,08:00,39.65
01/18/2022,09:00,26.19
01/18/2022,10:00,20.7
01/18/2022,11:00,17.49
01/18/2022,12:00,16.21
01/18/2022,13:00,15.55
01/18/2022,14:00,14.75
01/18/2022,15:00,14.8
01/18/2022,16:00,14.78
01/18/2022,17:00,17.45
01/18/2022,18:00,37.5
01/18/2022,19:00,42.57
01/18/2022,20:00,27.12
01/18/2022,21:00,27.13
01/18/2022,22:00,22.51
01/18/2022,23:00,20.46
01/18/2022,24:00,19.96
01/19/2022,01:00,18.39
01/19/2022,02:00,15.41
01/19/2022,03:00,15.19
01/19/2022,04:00,16.47
01/19/2022,05:00,19.05
01/19/2022,06:00,26.36
01/19/2022,07:00,34.86
01/19/2022,08:00,37.44
01/19/2022,09:00,30.31
01/19/2022,10:00,21.28
01/19/2022,11:00,18.7
01/19/2022,12:00,18.22
01/19/2022,13:00,20.04
01/19/2022,14:00,19.02
01/19/2022,15:00,18.21
01/19/2022,16:00,17.33
01/19/2022,17:00,19.41
01/19/2022,18:00,30.32
01/19/2022,19:00,31.14
01/19/2022,20:00,23.77
01/19/2022,21:00,21.57
01/19/2022,22:00,19.83
01/19/2022,23:00,21.17
01/19/2022,24:00,20.61
01/20/2022,01:00,19.92
01/20/2022,02:00,22.85
01/20/2022,03:00,25.24
01/20/2022,04:00,25.94
01/20/2022,05:00,27.84
01/20/2022,06:00,33.75
01/20/2022,07:00,38.7
01/20/2022,08:00,41.74
01/20/2022,09:00,41.33
01/20/2022,10:00,38.48
01/20/2022,11:00,38.06
01/20/2022,12:00,39.52
01/20/2022,13:00,38.15
01/20/2022,14:00,38.62
01/20/2022,15:00,35.18
01/20/2022,16:00,37.71
01/20/2022,17:00,42.05
01/20/2022,18:00,75.73
01/20/2022,19:00,90.05
01/20/2022,20:00,86.5
01/20/2022,21:00,79.29
01/20/2022,22:00,54.88
01/20/2022,23:00,37.33
01/20/2022,24:00,36.69
01/21/2022,01:00,31.68
01/21/2022,02:00,31.49
01/21/2022,03:00,31.49
01/21/2022,04:00,31.61
01/21/2022,05:00,35.1
01/21/2022,06:00,42.33
01/21/2022,07:00,113.51
01/21/2022,08:00,134.87
01/21/2022,09:00,62.61
01/21/2022,10:00,43.75
01/21/2022,11:00,39.54
01/21/2022,12:00,33.64
01/21/2022,13:00,29.39
01/21/2022,14:00,27.77
01/21/2022,15:00,27.13
01/21/2022,16:00,27.33
01/21/2022,17:00,29.06
01/21/2022,18:00,40.03
01/21/2022,19:00,41.89
01/21/2022,20:00,35.0
01/21/2022,21:00,32.68
01/21/2022,22:00,31.59
01/21/2022,23:00,27.95
01/21/2022,24:00,27.5
01/22/2022,01:00,29.94
01/22/2022,02:00,30.94
01/22/2022,03:00,32.72
01/22/2022,04:00,35.1
01/22/2022,05:00,36.87
01/22/2022,06:00,42.92
01/22/2022,07:00,74.03
01/22/2022,08:00,88.02
01/22/2022,09:00,56.17
01/22/2022,10:00,40.19
01/22/2022,11:00,33.62
01/22/2022,12:00,26.39
01/22/2022,13:00,24.37
01/22/2022,14:00,23.74
01/22/2022,15:00,22.18
01/22/2022,16:00,22.15
01/22/2022,17:00,23.15
01/22/2022,18:00,35.71
01/22/2022,19:00,42.57
01/22/2022,20:00,38.61
