Time,VRE_CF
1,0.13
2,0.13
3,0.14
4,0.14
5,0.13
6,0.12
7,0.11
8,0.12
9,0.14
10,0.19
11,0.19
12,0.14
13,0.19
14,0.27
15,0.31
16,0.34
17,0.35
18,0.34
19,0.38
20,0.56
21,0.62
22,0.66
23,0.69
24,0.69
25,0.67
26,0.69
27,0.7
28,0.7
29,0.69
30,0.69
31,0.67
32,0.69
33,0.68
34,0.62
35,0.64
36,0.64
37,0.58
38,0.59
39,0.58
40,0.64
41,0.64
42,0.62
43,0.64
44,0.67
45,0.71
46,0.74
47,0.77
48,0.78
49,0.79
50,0.81
51,0.81
52,0.8
53,0.79
54,0.76
55,0.75
56,0.66
57,0.62
58,0.57
59,0.67
60,0.69
61,0.83
62,0.83
63,0.84
64,0.74
65,0.71
66,0.68
67,0.69
68,0.73
69,0.74
70,0.73
71,0.71
72,0.7
73,0.69
74,0.69
75,0.68
76,0.63
77,0.59
78,0.53
79,0.54
80,0.44
81,0.36
82,0.32
83,0.27
84,0.29
85,0.27
86,0.25
87,0.27
88,0.26
89,0.24
90,0.21
91,0.18
92,0.18
93,0.19
94,0.17
95,0.17
96,0.16
97,0.17
98,0.16
99,0.14
100,0.13
101,0.12
102,0.11
103,0.11
104,0.11
105,0.1
106,0.09
107,0.06
108,0.04
109,0.05
110,0.05
111,0.04
112,0.04
113,0.04
114,0.05
115,0.07
116,0.09
117,0.1
118,0.1
119,0.11
120,0.12
121,0.15
122,0.22
123,0.25
124,0.32
125,0.36
126,0.38
127,0.4
128,0.36
129,0.38
130,0.32
131,0.25
132,0.27
133,0.25
134,0.23
135,0.2
136,0.18
137,0.17
138,0.12
139,0.09
140,0.09
141,0.09
142,0.09
143,0.1
144,0.13
145,0.18
146,0.24
147,0.29
148,0.36
149,0.4
150,0.43
151,0.45
152,0.44
153,0.41
154,0.36
155,0.2
156,0.23
157,0.28
158,0.31
159,0.31
160,0.32
161,0.28
162,0.19
163,0.15
164,0.16
165,0.17
166,0.21
167,0.25
168,0.34
169,0.39
170,0.43
171,0.45
172,0.43
173,0.44
174,0.46
175,0.46
176,0.5
177,0.51
178,0.56
179,0.42
180,0.38
181,0.45
182,0.49
183,0.57
184,0.58
185,0.58
186,0.61
187,0.68
188,0.76
189,0.81
190,0.83
191,0.82
192,0.81
193,0.81
194,0.81
195,0.75
196,0.76
197,0.76
198,0.76
199,0.77
200,0.74
201,0.66
202,0.54
203,0.31
204,0.29
205,0.33
206,0.38
207,0.37
208,0.29
209,0.2
210,0.12
211,0.1
212,0.1
213,0.11
214,0.12
215,0.12
216,0.11
217,0.11
218,0.12
219,0.15
220,0.19
221,0.23
222,0.27
223,0.3
224,0.32
225,0.32
226,0.32
227,0.32
228,0.21
229,0.28
230,0.37
231,0.41
232,0.42
233,0.4
234,0.4
235,0.46
236,0.54
237,0.6
238,0.63
239,0.66
240,0.69
241,0.72
242,0.71
243,0.7
244,0.71
245,0.71
246,0.7
247,0.65
248,0.65
249,0.59
250,0.47
251,0.37
252,0.28
253,0.32
254,0.34
255,0.35
256,0.35
257,0.36
258,0.4
259,0.5
260,0.62
261,0.65
262,0.66
263,0.67
264,0.65
265,0.63
266,0.61
267,0.6
268,0.51
269,0.51
270,0.54
271,0.59
272,0.57
273,0.53
274,0.48
275,0.45
276,0.57
277,0.63
278,0.61
279,0.55
280,0.5
281,0.42
282,0.35
283,0.32
284,0.34
285,0.34
286,0.36
287,0.36
288,0.35
289,0.36
290,0.37
291,0.42
292,0.48
293,0.51
294,0.54
295,0.61
296,0.65
297,0.66
298,0.55
299,0.49
300,0.57
301,0.58
302,0.58
303,0.59
304,0.61
305,0.61
306,0.58
307,0.64
308,0.69
309,0.69
310,0.68
311,0.68
312,0.71
313,0.71
314,0.65
315,0.65
316,0.63
317,0.61
318,0.61
319,0.61
320,0.6
321,0.58
322,0.53
323,0.51
324,0.46
325,0.45
326,0.46
327,0.44
328,0.43
329,0.39
330,0.36
331,0.48
332,0.6
333,0.66
334,0.69
335,0.7
336,0.71
337,0.72
338,0.73
339,0.68
340,0.69
341,0.68
342,0.67
343,0.69
344,0.68
345,0.63
346,0.54
347,0.65
348,0.67
349,0.58
350,0.57
351,0.58
352,0.62
353,0.6
354,0.56
355,0.62
356,0.7
357,0.72
358,0.77
359,0.77
360,0.78
361,0.76
362,0.7
363,0.69
364,0.67
365,0.68
366,0.7
367,0.71
368,0.67
369,0.68
370,0.66
371,0.71
372,0.7
373,0.73
374,0.75
375,0.72
376,0.7
377,0.63
378,0.54
379,0.56
380,0.64
381,0.7
382,0.74
383,0.74
384,0.72
385,0.66
386,0.62
387,0.59
388,0.54
389,0.47
390,0.41
391,0.37
392,0.35
393,0.31
394,0.27
395,0.29
396,0.28
397,0.27
398,0.27
399,0.25
400,0.23
401,0.16
402,0.11
403,0.09
404,0.11
405,0.15
406,0.19
407,0.29
408,0.38
409,0.43
410,0.48
411,0.54
412,0.57
413,0.59
414,0.63
415,0.64
416,0.66
417,0.66
418,0.68
419,0.79
420,0.78
421,0.77
422,0.78
423,0.76
424,0.74
425,0.71
426,0.72
427,0.72
428,0.77
429,0.8
430,0.78
431,0.77
432,0.61
433,0.55
434,0.51
435,0.56
436,0.51
437,0.58
438,0.66
439,0.74
440,0.76
441,0.73
442,0.63
443,0.64
444,0.67
445,0.65
446,0.59
447,0.58
448,0.63
449,0.61
450,0.49
451,0.43
452,0.45
453,0.44
454,0.41
455,0.37
456,0.38
457,0.4
458,0.38
459,0.39
460,0.38
461,0.36
462,0.33
463,0.31
464,0.28
465,0.25
466,0.21
467,0.17
468,0.17
469,0.14
470,0.13
471,0.12
472,0.13
473,0.1
474,0.07
475,0.05
476,0.06
477,0.07
478,0.08
479,0.08
480,0.08
481,0.09
482,0.09
483,0.09
484,0.1
485,0.1
486,0.11
487,0.11
488,0.12
489,0.13
490,0.13
491,0.09
492,0.12
493,0.17
494,0.24
495,0.28
496,0.27
497,0.23
498,0.16
499,0.13
500,0.13
501,0.14
502,0.15
503,0.19
504,0.17
505,0.21
506,0.32
507,0.36
508,0.42
509,0.45
510,0.48
511,0.49
512,0.5
513,0.5
514,0.47
515,0.38
516,0.35
517,0.39
518,0.43
519,0.47
520,0.5
521,0.5
522,0.54
523,0.62
524,0.69
525,0.71
526,0.73
527,0.73
528,0.75
529,0.72
530,0.72
531,0.7
532,0.71
533,0.7
534,0.68
535,0.66
536,0.65
537,0.58
538,0.54
539,0.51
540,0.43
541,0.4
542,0.4
543,0.32
544,0.3
545,0.29
546,0.26
547,0.26
548,0.3
549,0.34
550,0.36
551,0.42
552,0.44
553,0.46
554,0.48
555,0.52
556,0.56
557,0.57
558,0.55
559,0.52
560,0.53
561,0.53
562,0.49
563,0.46
564,0.51
565,0.59
566,0.6
567,0.61
568,0.61
569,0.59
570,0.57
571,0.58
572,0.58
573,0.63
574,0.7
575,0.71
576,0.74
577,0.74
578,0.73
579,0.75
580,0.74
581,0.69
582,0.7
583,0.72
584,0.7
585,0.65
586,0.5
587,0.43
588,0.49
589,0.53
590,0.56
591,0.55
592,0.52
593,0.45
594,0.31
595,0.23
596,0.22
597,0.21
598,0.25
599,0.32
600,0.46
601,0.58
602,0.64
603,0.69
604,0.72
605,0.75
606,0.76
607,0.76
608,0.76
609,0.76
610,0.75
611,0.73
612,0.82
613,0.88
614,0.88
615,0.88
616,0.88
617,0.89
618,0.89
619,0.89
620,0.89
621,0.88
622,0.88
623,0.87
624,0.86
625,0.86
626,0.85
627,0.86
628,0.86
629,0.85
630,0.82
631,0.8
632,0.78
633,0.7
634,0.57
635,0.43
636,0.46
637,0.5
638,0.52
639,0.53
640,0.53
641,0.5
642,0.46
643,0.49
644,0.6
645,0.69
646,0.7
647,0.72
648,0.73
649,0.74
650,0.72
651,0.7
652,0.7
653,0.66
654,0.66
655,0.61
656,0.49
657,0.36
658,0.24
659,0.21
660,0.22
661,0.27
662,0.3
663,0.35
664,0.41
665,0.46
666,0.42
667,0.38
668,0.46
669,0.49
670,0.53
671,0.57
672,0.57
673,0.56
674,0.5
675,0.42
676,0.35
677,0.33
678,0.3
679,0.29
680,0.27
681,0.26
682,0.29
683,0.26
684,0.28
685,0.39
686,0.45
687,0.49
688,0.52
689,0.53
690,0.54
691,0.59
692,0.64
693,0.64
694,0.65
695,0.66
696,0.73
697,0.72
698,0.72
699,0.68
700,0.64
701,0.59
702,0.56
703,0.52
704,0.48
705,0.4
706,0.26
707,0.09
708,0.06
709,0.03
710,0.02
711,0.03
712,0.04
713,0.08
714,0.13
715,0.21
716,0.33
717,0.48
718,0.59
719,0.66
720,0.69
721,0.69
722,0.72
723,0.71
724,0.74
725,0.75
726,0.77
727,0.77
728,0.76
729,0.69
730,0.65
731,0.65
732,0.64
733,0.59
734,0.58
735,0.54
736,0.52
737,0.45
738,0.41
739,0.45
740,0.46
741,0.47
742,0.45
743,0.46
744,0.48
745,0.55
746,0.57
747,0.54
748,0.59
749,0.49
750,0.38
751,0.34
752,0.31
753,0.29
754,0.29
755,0.25
756,0.25
757,0.33
758,0.37
759,0.42
760,0.42
761,0.44
762,0.35
763,0.26
764,0.21
765,0.2
766,0.21
