wind_speed,capacity_factor
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0006172839506172839
3.5,0.009876543209876543
4.0,0.05
4.5,0.10061728395061728
5.0,0.15987654320987654
5.5,0.23333333333333334
6.0,0.3111111111111111
6.5,0.3969135802469136
7.0,0.49876543209876545
7.5,0.6074074074074074
8.0,0.7154320987654321
8.5,0.8098765432098766
9.0,0.8802469135802469
9.5,0.9376543209876543
10.0,0.9697530864197531
10.5,0.9839506172839506
11.0,0.9932098765432099
11.5,0.9993827160493827
12.0,1.0
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,1.0
16.0,1.0
16.5,1.0
17.0,1.0
17.5,1.0
18.0,1.0
18.5,1.0
19.0,1.0
19.5,1.0
20.0,1.0
20.5,1.0
21.0,1.0
21.5,1.0
22.0,1.0
22.5,1.0
23.0,1.0
23.5,1.0
24.0,1.0
24.5,1.0
25.0,1.0
