wind_speed,capacity_factor
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.006539509536784741
3.5,0.021798365122615803
4.0,0.05068119891008174
4.5,0.08773841961852862
5.0,0.13133514986376021
5.5,0.18310626702997276
6.0,0.24305177111716622
6.5,0.3133514986376022
7.0,0.39618528610354226
7.5,0.4904632152588556
8.0,0.5961852861035423
8.5,0.7106267029972752
9.0,0.8228882833787466
9.5,0.911716621253406
10.0,0.9651226158038148
10.5,0.9885558583106268
11.0,0.9967302452316076
11.5,0.9994550408719346
12.0,1.0
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,1.0
16.0,1.0
16.5,1.0
17.0,1.0
17.5,1.0
18.0,1.0
18.5,1.0
19.0,1.0
19.5,1.0
20.0,1.0
