wind_speed_m_per_s,capacity_factor
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.033
3.5,0.073
4.0,0.122
4.5,0.181
5.0,0.245
5.5,0.316
6.0,0.39
6.5,0.471
7.0,0.554
7.5,0.643
8.0,0.735
8.5,0.81
9.0,0.869
9.5,0.916
10.0,0.951
10.5,0.978
11.0,0.995
11.5,1.0
12.0,1.0
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,1.0
16.0,1.0
16.5,1.0
17.0,1.0
17.5,1.0
18.0,1.0
18.5,1.0
19.0,1.0
19.5,1.0
20.0,1.0
20.5,1.0
21.0,1.0
21.5,0.0
22.0,0.0
22.5,0.0
23.0,0.0
23.5,0.0
24.0,0.0
24.5,0.0
25.0,0.0
25.5,0.0
26.0,0.0
