SiteID,1574629,Site Timezone,-6,Data Timezone,0,Longitude,-90.558807373,Latitude,38.9483947754
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),relative humidity at 2m (%),air temperature at 100m (C),air pressure at 100m (Pa)
2009,1,1,0,30,2.77,63.52,-4,100120
2009,1,1,1,30,3.63,65.17,-4.44,100090
2009,1,1,2,30,4.8,57.92,-4.73,100050
2009,1,1,3,30,5.58,60.68,-5,99970
2009,1,1,4,30,6.74,61.24,-5.0600000000000005,99860
2009,1,1,5,30,7.54,59.68,-5.11,99800
2009,1,1,6,30,8,61.42,-5.3,99730
2009,1,1,7,30,7.33,63.4,-5.13,99670
2009,1,1,8,30,8.44,63.43,-5.15,99590
2009,1,1,9,30,8.47,62.99,-5.3,99520
2009,1,1,10,30,8.36,63.870000000000005,-5.43,99450
2009,1,1,11,30,8.05,64.83,-5.5,99400
2009,1,1,12,30,8.64,65.7,-5.46,99340
2009,1,1,13,30,8.120000000000001,70.46000000000001,-5.69,99270
2009,1,1,14,30,9.200000000000001,62.89,-5.3100000000000005,99190
2009,1,1,15,30,8.2,56.800000000000004,-4.21,99090
2009,1,1,16,30,6.68,52.89,-3.14,98980
2009,1,1,17,30,6.5200000000000005,49.45,-1.85,98840
2009,1,1,18,30,6.75,44.86,-0.19,98720
2009,1,1,19,30,6.62,41.26,1.21,98620
2009,1,1,20,30,6.66,40.18,2.2800000000000002,98540
2009,1,1,21,30,6.2,47.410000000000004,2.83,98470
2009,1,1,22,30,7.37,57.800000000000004,3.14,98450
2009,1,1,23,30,8.28,61.64,3.2,98440
2009,1,2,0,30,10.01,59.21,2.83,98420
2009,1,2,1,30,9.49,67.15,1.86,98420
2009,1,2,2,30,8.6,72.85000000000001,0.79,98410
2009,1,2,3,30,10.83,77.24,1.24,98420
2009,1,2,4,30,9.44,72.33,1.42,98430
2009,1,2,5,30,8.32,77.54,0.7000000000000001,98430
2009,1,2,6,30,6.12,80.44,-0.58,98450
2009,1,2,7,30,4.4,79.58,-1.59,98490
2009,1,2,8,30,5.0600000000000005,84.37,-1.05,98520
2009,1,2,9,30,4.93,85.34,-0.96,98540
2009,1,2,10,30,3.3200000000000003,86.33,-1.74,98570
2009,1,2,11,30,2.71,87.18,-1.37,98600
2009,1,2,12,30,3.7600000000000002,86.28,-0.16,98640
2009,1,2,13,30,4.19,85.87,0.52,98660
2009,1,2,14,30,2.44,82.21000000000001,-0.8,98700
2009,1,2,15,30,0.9400000000000001,73.48,-0.41000000000000003,98730
2009,1,2,16,30,0.34,65.82000000000001,0.45,98700
2009,1,2,17,30,0.78,57.72,1.68,98670
2009,1,2,18,30,1.45,53.29,3.21,98670
2009,1,2,19,30,2.2800000000000002,49.89,3.97,98660
2009,1,2,20,30,3.02,50.34,4.21,98630
2009,1,2,21,30,3.3000000000000003,63.79,4.34,98580
2009,1,2,22,30,5.11,67.97,4.2700000000000005,98580
2009,1,2,23,30,5.5600000000000005,75.64,4.17,98590
2009,1,3,0,30,7.640000000000001,82.27,3.83,98590
2009,1,3,1,30,8.6,83.18,2.89,98590
2009,1,3,2,30,8.76,80.91,2.2,98570
2009,1,3,3,30,8.71,79.51,1.4000000000000001,98540
2009,1,3,4,30,8.8,79.97,0.73,98520
2009,1,3,5,30,8.84,80.47,0.63,98490
2009,1,3,6,30,8.64,80.81,0.2,98480
2009,1,3,7,30,8.540000000000001,82.21000000000001,-0.08,98460
2009,1,3,8,30,8.43,82.3,-0.22,98420
2009,1,3,9,30,7.96,79.31,-0.01,98360
2009,1,3,10,30,6.97,76.38,0.21,98340
2009,1,3,11,30,7.640000000000001,76.66,0.72,98310
2009,1,3,12,30,8.66,77.37,1.01,98280
2009,1,3,13,30,8.78,83.83,1.48,98280
2009,1,3,14,30,9.02,81.89,1.6400000000000001,98270
2009,1,3,15,30,9.450000000000001,84.64,1.92,98240
2009,1,3,16,30,9.22,88.74,2.2,98170
2009,1,3,17,30,9.1,91.64,3.09,98130
2009,1,3,18,30,8.96,95.04,3.93,98100
2009,1,3,19,30,9.17,96.53,4.3,98040
2009,1,3,20,30,9.040000000000001,97.13,4.62,98020
2009,1,3,21,30,9.44,97.83,4.69,97950
2009,1,3,22,30,9.450000000000001,98.17,5.29,97950
2009,1,3,23,30,9.32,98.23,6,97950
2009,1,4,0,30,9.41,98.42,7.12,97980
2009,1,4,1,30,8.89,98.35000000000001,9.15,98010
2009,1,4,2,30,8.44,98.3,10.35,98030
2009,1,4,3,30,8.05,99.09,10.92,98020
2009,1,4,4,30,8.75,99.33,11.47,98010
2009,1,4,5,30,10.16,98.94,12.870000000000001,98030
2009,1,4,6,30,8.870000000000001,98.78,12.84,98090
2009,1,4,7,30,9.15,99.29,11.49,98220
2009,1,4,8,30,10.040000000000001,96.22,6.43,98400
2009,1,4,9,30,10.55,85.61,3.8200000000000003,98560
2009,1,4,10,30,9.83,80.14,2.48,98690
2009,1,4,11,30,9.44,76.89,1.47,98840
2009,1,4,12,30,8.870000000000001,76.32000000000001,0.9,98960
2009,1,4,13,30,9.89,76.83,-1.56,99090
2009,1,4,14,30,8.72,76.71000000000001,-2.77,99230
2009,1,4,15,30,9.01,72.98,-3.29,99350
2009,1,4,16,30,8.950000000000001,65.91,-2.32,99390
2009,1,4,17,30,9.44,60.89,-1.72,99450
2009,1,4,18,30,9.78,57.6,-1.48,99510
2009,1,4,19,30,9.98,54.79,-1.36,99570
2009,1,4,20,30,9.99,53.230000000000004,-1.35,99650
2009,1,4,21,30,10.03,51.65,-1.81,99710
2009,1,4,22,30,9.81,53.95,-2.57,99770
2009,1,4,23,30,9.57,55.230000000000004,-3.2800000000000002,99840
2009,1,5,0,30,8.69,57.09,-3.75,99910
2009,1,5,1,30,8.77,55.36,-4.2,99960
2009,1,5,2,30,7.82,55.550000000000004,-4.63,99990
2009,1,5,3,30,6.49,56.51,-4.88,100000
2009,1,5,4,30,5.8500000000000005,55.96,-5.1000000000000005,99980
2009,1,5,5,30,5.53,54.84,-5.28,99970
2009,1,5,6,30,5.88,51.79,-5.44,99980
2009,1,5,7,30,5.51,50.22,-5.63,99990
2009,1,5,8,30,4.8500000000000005,49.92,-5.72,99990
2009,1,5,9,30,4.5200000000000005,50.1,-5.78,99970
2009,1,5,10,30,4.73,50.2,-5.8100000000000005,99960
2009,1,5,11,30,3.81,50.64,-5.82,99950
2009,1,5,12,30,3.08,52.14,-5.8100000000000005,99910
2009,1,5,13,30,2.36,57.76,-5.84,99860
2009,1,5,14,30,1.26,51.03,-5.86,99810
2009,1,5,15,30,0.86,46.85,-5.5200000000000005,99750
2009,1,5,16,30,0.96,44.18,-4.7700000000000005,99640
2009,1,5,17,30,1.7,38.26,-3.91,99540
2009,1,5,18,30,2.0100000000000002,37.2,-3.14,99420
2009,1,5,19,30,2.3000000000000003,36.29,-2.42,99310
2009,1,5,20,30,2.52,34.21,-1.84,99200
2009,1,5,21,30,3.0300000000000002,35.47,-1.6,99090
2009,1,5,22,30,3.91,50.230000000000004,-1.72,98990
2009,1,5,23,30,4.99,53.93,-1.82,98920
2009,1,6,0,30,5.66,54.06,-1.69,98840
2009,1,6,1,30,7.28,56.39,-2.1,98770
2009,1,6,2,30,7.18,58.08,-2.46,98680
2009,1,6,3,30,7.25,58.88,-2.5,98590
2009,1,6,4,30,7.16,59.76,-2.6,98490
2009,1,6,5,30,6.49,61.26,-2.7800000000000002,98390
2009,1,6,6,30,6.13,63.89,-3.0700000000000003,98320
2009,1,6,7,30,5.84,66.49,-2.9,98260
2009,1,6,8,30,5.61,68.47,-2.85,98170
2009,1,6,9,30,4.86,70.14,-2.98,98080
2009,1,6,10,30,3.68,74.57000000000001,-3.75,98010
2009,1,6,11,30,3.81,75.78,-3.33,97940
2009,1,6,12,30,3.58,75.52,-3,97890
2009,1,6,13,30,2.56,77.16,-3.0500000000000003,97840
2009,1,6,14,30,2.02,71.4,-2.99,97800
2009,1,6,15,30,1.54,65.26,-2.82,97740
2009,1,6,16,30,0.75,57.53,-2.14,97670
2009,1,6,17,30,1.26,55.51,-0.9400000000000001,97590
2009,1,6,18,30,1.77,57.02,-0.27,97540
2009,1,6,19,30,1.83,55.58,0.33,97450
2009,1,6,20,30,1.44,55.160000000000004,0.85,97400
2009,1,6,21,30,1.04,58.49,1.01,97370
2009,1,6,22,30,0.63,73.92,0.81,97350
2009,1,6,23,30,1.18,77.21000000000001,0.7000000000000001,97350
2009,1,7,0,30,2.3000000000000003,81.38,0.39,97340
2009,1,7,1,30,2.69,84.64,-0.08,97330
2009,1,7,2,30,3.38,85.7,-0.86,97300
2009,1,7,3,30,3.13,82.81,-1.1500000000000001,97240
2009,1,7,4,30,3.79,78.61,-1,97170
2009,1,7,5,30,5.41,69.69,-0.6900000000000001,97120
2009,1,7,6,30,6.3100000000000005,67.21000000000001,-0.78,97080
2009,1,7,7,30,6.91,65.76,-0.87,97040
2009,1,7,8,30,7.17,63.82,-1.09,97020
2009,1,7,9,30,7.0200000000000005,59.92,-1.04,96980
2009,1,7,10,30,8.94,56.65,-0.9500000000000001,96980
2009,1,7,11,30,9.41,60.53,-1.2,96990
2009,1,7,12,30,10.09,63.15,-1.93,96990
2009,1,7,13,30,9.22,65.43,-1.99,97030
2009,1,7,14,30,10.76,65.81,-2.34,97100
2009,1,7,15,30,9.620000000000001,65.79,-2.54,97170
2009,1,7,16,30,9.91,62.63,-1.95,97200
2009,1,7,17,30,10.1,62.410000000000004,-1.1500000000000001,97220
2009,1,7,18,30,11.39,57.660000000000004,-0.29,97240
2009,1,7,19,30,11.86,53.6,0.31,97250
2009,1,7,20,30,11.27,52.27,0.91,97290
2009,1,7,21,30,10.01,52.300000000000004,1.03,97330
2009,1,7,22,30,9.43,56.27,0.75,97380
2009,1,7,23,30,10.41,59.53,0.52,97440
2009,1,8,0,30,11.16,60.39,0.41000000000000003,97500
2009,1,8,1,30,9.700000000000001,65.57000000000001,0.06,97560
2009,1,8,2,30,8.83,70.31,-0.39,97640
2009,1,8,3,30,9.73,72.69,-0.91,97700
2009,1,8,4,30,7.99,81.76,-2.3000000000000003,97730
2009,1,8,5,30,6.13,82.84,-3.58,97800
2009,1,8,6,30,9.25,64.5,-4.45,97890
2009,1,8,7,30,7.890000000000001,65.35,-5.39,97950
2009,1,8,8,30,6.01,68.60000000000001,-5.97,98000
2009,1,8,9,30,9.64,62.46,-6.65,98090
2009,1,8,10,30,6.82,64.91,-6.94,98170
2009,1,8,11,30,9.15,64.61,-7.8,98250
2009,1,8,12,30,8.03,66.67,-8.08,98380
2009,1,8,13,30,6.88,68.89,-8.28,98480
2009,1,8,14,30,7.890000000000001,65.32000000000001,-8.53,98570
2009,1,8,15,30,6.28,61.9,-7.73,98670
2009,1,8,16,30,5.15,57.76,-6.79,98700
2009,1,8,17,30,5.4,53.33,-5.66,98750
2009,1,8,18,30,5.1000000000000005,50.93,-4.46,98780
2009,1,8,19,30,4.14,49.410000000000004,-3.42,98800
2009,1,8,20,30,3.98,47.39,-2.62,98830
2009,1,8,21,30,4.15,47.28,-2.24,98840
2009,1,8,22,30,3.65,59.89,-2.24,98840
2009,1,8,23,30,2.5500000000000003,62.82,-2.04,98840
2009,1,9,0,30,1.58,63.67,-1.76,98860
2009,1,9,1,30,1.67,68.74,-1.72,98880
2009,1,9,2,30,2.04,70.28,-1.81,98850
2009,1,9,3,30,3.94,73.38,-1.6300000000000001,98840
2009,1,9,4,30,4.9,73.48,-1.8,98820
2009,1,9,5,30,6.26,69.9,-1.53,98790
2009,1,9,6,30,7.13,70.89,-2.04,98800
2009,1,9,7,30,7.890000000000001,68.53,-2.06,98780
2009,1,9,8,30,8.42,67.49,-1.74,98750
2009,1,9,9,30,9.21,66.02,-1.32,98710
2009,1,9,10,30,9.76,64.02,-1.22,98670
2009,1,9,11,30,9.74,64.2,-1.25,98650
2009,1,9,12,30,9.200000000000001,66.3,-1.3800000000000001,98620
2009,1,9,13,30,8.76,66.03,-1.26,98600
2009,1,9,14,30,7.43,59.44,-1.05,98590
2009,1,9,15,30,6.5,55.83,0.89,98570
2009,1,9,16,30,5.13,51.57,2.7600000000000002,98520
2009,1,9,17,30,4.36,49.51,4.23,98450
2009,1,9,18,30,4.25,47.71,6.08,98400
2009,1,9,19,30,4.76,45.12,7.51,98370
2009,1,9,20,30,4.93,47.71,8.17,98360
2009,1,9,21,30,6.67,56.480000000000004,7.98,98350
2009,1,9,22,30,7.68,69.64,8.38,98350
2009,1,9,23,30,7.68,78.91,8.07,98380
2009,1,10,0,30,8.870000000000001,80.67,7.88,98390
2009,1,10,1,30,8.69,81.7,7.88,98410
2009,1,10,2,30,7.140000000000001,81.62,7.58,98420
2009,1,10,3,30,5.75,79.11,7.86,98420
2009,1,10,4,30,4.78,80.26,7.79,98390
2009,1,10,5,30,3.72,81.38,7.65,98380
2009,1,10,6,30,1.92,88.31,5.91,98370
2009,1,10,7,30,8.72,80.67,1.6600000000000001,98360
2009,1,10,8,30,10.01,83.2,-0.27,98460
2009,1,10,9,30,10.81,79.99,-0.54,98520
2009,1,10,10,30,9.9,79.66,-0.74,98590
2009,1,10,11,30,9.39,79.4,-0.8300000000000001,98650
2009,1,10,12,30,8.76,83.63,-0.93,98720
2009,1,10,13,30,10.790000000000001,84.13,-1.55,98780
2009,1,10,14,30,9.42,85.74,-1.57,98850
2009,1,10,15,30,8.56,82.82000000000001,-1.23,98930
2009,1,10,16,30,9.200000000000001,80.68,-1.27,98980
2009,1,10,17,30,9.63,77.59,-1.03,99020
2009,1,10,18,30,9.950000000000001,73.38,-0.79,99060
2009,1,10,19,30,10.120000000000001,70.07000000000001,-0.62,99110
2009,1,10,20,30,9.99,68.78,-0.71,99170
2009,1,10,21,30,10.31,70.53,-1.12,99210
2009,1,10,22,30,10.49,73.23,-1.82,99290
2009,1,10,23,30,9.63,76.14,-2.48,99330
2009,1,11,0,30,9.4,77.21000000000001,-3.09,99390
2009,1,11,1,30,8.370000000000001,77.62,-3.67,99440
2009,1,11,2,30,7.54,78.57000000000001,-4.16,99460
2009,1,11,3,30,6.79,78.8,-4.54,99480
2009,1,11,4,30,6.16,78.47,-4.89,99490
2009,1,11,5,30,4.3100000000000005,79.38,-5.16,99500
2009,1,11,6,30,4.53,70.27,-5.59,99510
2009,1,11,7,30,4.05,68.91,-5.74,99510
2009,1,11,8,30,4.24,67.24,-5.78,99510
2009,1,11,9,30,3.52,69.42,-5.74,99480
2009,1,11,10,30,3.92,76.53,-5.88,99460
2009,1,11,11,30,3.77,75.21000000000001,-5.95,99430
2009,1,11,12,30,4.42,71.21000000000001,-5.62,99410
2009,1,11,13,30,4.08,72.2,-5.74,99390
2009,1,11,14,30,3.66,70.87,-5.29,99370
2009,1,11,15,30,3.2,63.75,-4.09,99350
2009,1,11,16,30,3.4,56.53,-2.47,99300
2009,1,11,17,30,4,50.660000000000004,-0.9,99260
2009,1,11,18,30,5.01,47.97,0.4,99220
2009,1,11,19,30,5.86,47.27,1.49,99190
2009,1,11,20,30,6.59,48.63,2.29,99190
2009,1,11,21,30,6.5,53.47,2.71,99200
2009,1,11,22,30,7.22,71.63,2.7800000000000002,99240
2009,1,11,23,30,8.75,79.52,2.23,99250
2009,1,12,0,30,9.14,82.73,1.82,99290
2009,1,12,1,30,8.91,84.35000000000001,0.5700000000000001,99300
2009,1,12,2,30,7.3500000000000005,90.07000000000001,-0.27,99320
2009,1,12,3,30,6.88,97.52,-1.11,99330
2009,1,12,4,30,7.11,97.87,-1.6600000000000001,99320
2009,1,12,5,30,7.390000000000001,99.23,-1.93,99330
2009,1,12,6,30,6.83,98.61,-2.0100000000000002,99360
2009,1,12,7,30,5.08,97.62,-2.52,99370
2009,1,12,8,30,3.2600000000000002,95.46000000000001,-2.88,99380
2009,1,12,9,30,2.5300000000000002,98.06,-3.11,99340
2009,1,12,10,30,0.8200000000000001,96.61,-3.2,99330
2009,1,12,11,30,0.85,95.63,-3.23,99310
2009,1,12,12,30,1.71,95.51,-3.14,99290
2009,1,12,13,30,3.18,95.46000000000001,-2.94,99280
2009,1,12,14,30,4.51,90.95,-2.5,99260
2009,1,12,15,30,4.3,77.22,-1.95,99200
2009,1,12,16,30,5.5600000000000005,71.69,-0.61,99130
2009,1,12,17,30,6.13,70.46000000000001,0.41000000000000003,99050
2009,1,12,18,30,6.5600000000000005,67.67,1.37,98940
2009,1,12,19,30,6.87,65.54,2.39,98880
2009,1,12,20,30,7.28,66.19,3.0500000000000003,98770
2009,1,12,21,30,6.86,68.87,3.33,98700
2009,1,12,22,30,7.3100000000000005,78.17,3.7,98670
2009,1,12,23,30,8.02,91.44,3.7,98630
2009,1,13,0,30,9.17,82.56,3.92,98610
2009,1,13,1,30,10.47,80.03,3.34,98650
2009,1,13,2,30,10.65,94.69,2.93,98680
2009,1,13,3,30,11.98,93.34,1.12,98740
2009,1,13,4,30,11.03,99.52,-0.28,98780
2009,1,13,5,30,10.01,99.11,-1.5,98860
2009,1,13,6,30,13.18,85.33,-3.49,98950
2009,1,13,7,30,13.1,80.52,-5.22,99050
2009,1,13,8,30,12.34,74.82000000000001,-6.5600000000000005,99160
2009,1,13,9,30,11.94,72.9,-7.36,99250
2009,1,13,10,30,11.89,71.61,-8.46,99340
2009,1,13,11,30,11.76,68.44,-9.99,99430
2009,1,13,12,30,11.72,66.36,-11.21,99520
2009,1,13,13,30,10.36,64.14,-12.4,99580
2009,1,13,14,30,9.42,61.480000000000004,-13.1,99660
2009,1,13,15,30,9.120000000000001,53.83,-13.19,99720
2009,1,13,16,30,7.73,48,-12.65,99760
2009,1,13,17,30,7.05,42.160000000000004,-11.73,99770
2009,1,13,18,30,6.49,37.660000000000004,-10.790000000000001,99750
2009,1,13,19,30,5.94,36.02,-9.870000000000001,99730
2009,1,13,20,30,5.3,35.160000000000004,-9.21,99700
2009,1,13,21,30,5.41,33.09,-8.92,99660
2009,1,13,22,30,4.72,36.99,-8.89,99650
2009,1,13,23,30,3.38,38.72,-9.07,99610
2009,1,14,0,30,1.18,45.34,-9.040000000000001,99560
2009,1,14,1,30,1.23,46.47,-8.82,99480
2009,1,14,2,30,3.29,48.81,-8.48,99400
2009,1,14,3,30,4.16,49.07,-8.51,99310
2009,1,14,4,30,4.49,47.050000000000004,-7.83,99250
2009,1,14,5,30,6.22,43.82,-6.97,99100
2009,1,14,6,30,6.8,40.01,-6.54,99010
2009,1,14,7,30,7.99,40.57,-5.97,98910
2009,1,14,8,30,9.040000000000001,42.26,-5.13,98770
2009,1,14,9,30,9.85,44.04,-4.49,98650
2009,1,14,10,30,8.790000000000001,52.01,-3.96,98560
2009,1,14,11,30,9.39,56.71,-3.66,98480
2009,1,14,12,30,11.19,55,-2.93,98450
2009,1,14,13,30,14.56,52.06,-2.81,98440
2009,1,14,14,30,13.82,59.22,-2.5300000000000002,98490
2009,1,14,15,30,14.56,63.160000000000004,-1.98,98600
2009,1,14,16,30,12.81,56.76,-3.17,98820
2009,1,14,17,30,13.61,52.35,-4.2,99000
2009,1,14,18,30,13.4,57.51,-5.47,99180
2009,1,14,19,30,13.280000000000001,54.18,-6.92,99350
2009,1,14,20,30,12.77,54.9,-8.27,99550
2009,1,14,21,30,12.5,56.25,-9.15,99660
2009,1,14,22,30,12.09,58.14,-10.07,99810
2009,1,14,23,30,11.71,60.95,-10.99,99950
2009,1,15,0,30,11.620000000000001,60.480000000000004,-11.96,100110
2009,1,15,1,30,10.93,61.06,-12.86,100240
2009,1,15,2,30,9.84,60.300000000000004,-13.67,100360
2009,1,15,3,30,9.74,56.120000000000005,-14.42,100430
2009,1,15,4,30,9.72,53.29,-15.34,100490
2009,1,15,5,30,8.17,56.99,-16.06,100570
2009,1,15,6,30,7.84,57.19,-16.8,100670
2009,1,15,7,30,9.21,53.2,-17.79,100750
2009,1,15,8,30,8.39,56.29,-18.37,100820
2009,1,15,9,30,7.45,57.83,-18.94,100890
2009,1,15,10,30,7.65,59.910000000000004,-19.48,100950
2009,1,15,11,30,6.55,61.43,-19.84,101000
2009,1,15,12,30,7.18,61.57,-20.400000000000002,101050
2009,1,15,13,30,6.45,62.15,-20.7,101100
2009,1,15,14,30,6.23,60.1,-20.67,101160
2009,1,15,15,30,6.12,54.53,-20.19,101200
2009,1,15,16,30,6.2700000000000005,48.6,-19.23,101220
2009,1,15,17,30,6.140000000000001,44.18,-18.06,101220
2009,1,15,18,30,5.99,40.03,-16.87,101200
2009,1,15,19,30,5.84,37.13,-15.96,101210
2009,1,15,20,30,6.07,35.43,-15.370000000000001,101210
2009,1,15,21,30,6.36,35.11,-15.17,101230
2009,1,15,22,30,6.54,37.26,-15.370000000000001,101250
2009,1,15,23,30,6.44,40.89,-15.76,101280
2009,1,16,0,30,5.8,43.800000000000004,-16.080000000000002,101310
2009,1,16,1,30,4.7700000000000005,47.12,-16.42,101340
2009,1,16,2,30,5.01,51.75,-16.98,101360
2009,1,16,3,30,4.57,53.71,-17.36,101360
2009,1,16,4,30,5.73,53.660000000000004,-17.7,101340
2009,1,16,5,30,4.45,56.43,-18.01,101350
2009,1,16,6,30,4.21,59.49,-18.36,101360
2009,1,16,7,30,4.11,60.870000000000005,-18.67,101360
2009,1,16,8,30,3.27,63.65,-18.89,101370
2009,1,16,9,30,2.63,65.74,-19.04,101350
2009,1,16,10,30,1.29,66.61,-19.02,101340
2009,1,16,11,30,0.93,66.39,-18.830000000000002,101320
2009,1,16,12,30,0.9500000000000001,67.94,-18.54,101310
2009,1,16,13,30,2.14,67.85,-18.25,101300
2009,1,16,14,30,2.22,60.17,-17.68,101260
2009,1,16,15,30,2.84,46.33,-16.67,101220
2009,1,16,16,30,3.92,35.02,-14.870000000000001,101140
2009,1,16,17,30,4.58,27.84,-13.19,101060
2009,1,16,18,30,5.19,24.060000000000002,-11.790000000000001,100960
2009,1,16,19,30,5.62,24.92,-10.89,100860
2009,1,16,20,30,6.18,25.400000000000002,-10.02,100760
2009,1,16,21,30,6.3100000000000005,29.080000000000002,-9.64,100660
2009,1,16,22,30,6.34,30.27,-9,100560
2009,1,16,23,30,7.2,30.93,-8.64,100480
2009,1,17,0,30,8.65,31.6,-8.45,100410
2009,1,17,1,30,7.92,35.550000000000004,-8.72,100340
2009,1,17,2,30,8.1,41.04,-9.09,100260
2009,1,17,3,30,8.51,42.22,-9.51,100180
2009,1,17,4,30,9.040000000000001,42.89,-9.790000000000001,100070
2009,1,17,5,30,8.5,42.15,-9.83,99990
2009,1,17,6,30,8.74,110,-9.9,99880
2009,1,17,7,30,8.08,42.5,-9.8,99770
2009,1,17,8,30,8.07,39.52,-9.38,99660
