Year,Month,Day,Hour,Minute,v_meas,rh,T_C,p_meas,turbine_power_kw,v_std
2009,1,1,0,30,2.77,63.52,-4.0,100120,42.93463785520201,2.8212468227100786
2009,1,1,1,30,3.63,65.17,-4.44,100090,187.2797292831128,3.6988144584686964
2009,1,1,2,30,4.8,57.92,-4.73,100050,468.21771574108817,4.892333008260371
2009,1,1,3,30,5.58,60.68,-5.0,99970,696.1476830201843,5.687679956690638
2009,1,1,4,30,6.74,61.24,-5.0600000000000005,99860,1077.4929588116586,6.868043905434058
2009,1,1,5,30,7.54,59.68,-5.11,99800,1369.9819803460803,7.682251691750081
2009,1,1,6,30,8.0,61.42,-5.3,99730,1534.21441955019,8.150911669301037
2009,1,1,7,30,7.33,63.4,-5.13,99670,1289.4899981895278,7.465085305006319
2009,1,1,8,30,8.44,63.43,-5.15,99590,1662.581243638032,8.593455717254788
2009,1,1,9,30,8.47,62.99,-5.3,99520,1669.793740241763,8.623639841982685
2009,1,1,10,30,8.36,63.870000000000005,-5.43,99450,1642.8814314380122,8.511012477246336
2009,1,1,11,30,8.05,64.83,-5.5,99400,1547.5229960838435,8.19472591303323
2009,1,1,12,30,8.64,65.7,-5.46,99340,1710.280240570846,8.793074871608477
2009,1,1,13,30,8.120000000000001,70.46000000000001,-5.69,99270,1568.6060863339708,8.264135263650932
2009,1,1,14,30,9.2,62.89,-5.3100000000000005,99190,1827.6095689026547,9.356630254282399
2009,1,1,15,30,8.2,56.8,-4.21,99090,1587.2357254938206,8.325467409033154
2009,1,1,16,30,6.68,52.89,-3.14,98980,1044.774085264881,6.7707097583366975
2009,1,1,17,30,6.5200000000000005,49.45,-1.85,98840,985.6649388584111,6.594868180450427
2009,1,1,18,30,6.75,44.86,-0.19,98720,1058.2579937285352,6.810822530800342
2009,1,1,19,30,6.62,41.26,1.21,98620,1009.5671979980616,6.665974112741519
2009,1,1,20,30,6.66,40.18,2.28,98540,1019.5332058999913,6.695621615052778
2009,1,1,21,30,6.2,47.41,2.83,98470,864.2229147616739,6.227016963150964
2009,1,1,22,30,7.37,57.8,3.14,98450,1265.314678773406,7.398015477246236
2009,1,1,23,30,8.28,61.64,3.2,98440,1582.6154810303642,8.31025672767198
2009,1,2,0,30,10.01,59.21,2.83,98420,1931.327450833315,10.050776870903658
2009,1,2,1,30,9.49,67.15,1.86,98420,1860.503746048573,9.539532599989933
2009,1,2,2,30,8.6,72.85000000000001,0.79,98410,1677.4810867750698,8.655811202239253
2009,1,2,3,30,10.83,77.24,1.24,98420,2007.5812884106763,10.894063738717154
2009,1,2,4,30,9.44,72.33,1.42,98430,1853.8360677250832,9.494410652614043
2009,1,2,5,30,8.32,77.54,0.7000000000000001,98430,1602.3386245104748,8.375188887277282
2009,1,2,6,30,6.12,80.44,-0.58,98450,845.8002549547336,6.1708588780817974
2009,1,2,7,30,4.4,79.58,-1.59,98490,352.8760605425912,4.442879516813522
2009,1,2,8,30,5.0600000000000005,84.37,-1.05,98520,526.6503318995472,5.106156605458345
2009,1,2,9,30,4.93,85.34,-0.96,98540,489.56833910961285,4.9747042403920245
2009,1,2,10,30,3.3200000000000003,86.33,-1.74,98570,124.13181212449523,3.3537457538549087
2009,1,2,11,30,2.71,87.18,-1.37,98600,31.610801354304723,2.736519276874708
2009,1,2,12,30,3.76,86.28,-0.16,98640,205.67311050486367,3.791499675005612
2009,1,2,13,30,4.19,85.87,0.52,98660,300.0388593656484,4.221757101341906
2009,1,2,14,30,2.44,82.21000000000001,-0.8,98700,0.0,2.4630160045738303
2009,1,2,15,30,0.94,73.48,-0.41,98730,0.0,0.9485567106634063
2009,1,2,16,30,0.34,65.82000000000001,0.45,98700,0.0,0.3427092010801084
2009,1,2,17,30,0.78,57.72,1.68,98670,0.0,0.7849782864119093
2009,1,2,18,30,1.45,53.29,3.21,98670,0.0,1.4565345932966118
2009,1,2,19,30,2.28,49.89,3.97,98660,0.0,2.2881166594118247
2009,1,2,20,30,3.02,50.34,4.21,98630,71.6085162305939,3.029527877966629
2009,1,2,21,30,3.3000000000000003,63.79,4.34,98580,116.8576036080126,3.308843232148226
2009,1,2,22,30,5.11,67.97,4.2700000000000005,98580,531.7565562312145,5.123914297448146
2009,1,2,23,30,5.5600000000000005,75.64,4.17,98590,662.5501377921689,5.575576035342572
