,Year,Month,Day,Hour,Minute,temp_air,temp_dew,dhi,dni,ghi,albedo,pressure,wind_direction,wind_speed
2022-01-01 00:30:00-08:00,2022,1,1,0,30,0.1,-8.8,0.0,0.0,0.0,0.16,912.0,341.0,4.3
2022-01-01 01:30:00-08:00,2022,1,1,1,30,-0.9,-9.5,0.0,0.0,0.0,0.16,913.0,338.0,3.5
2022-01-01 02:30:00-08:00,2022,1,1,2,30,-1.4,-10.2,0.0,0.0,0.0,0.16,914.0,339.0,3.3000000000000003
2022-01-01 03:30:00-08:00,2022,1,1,3,30,-1.8,-10.6,0.0,0.0,0.0,0.16,915.0,343.0,2.9000000000000004
2022-01-01 04:30:00-08:00,2022,1,1,4,30,-2.1,-10.8,0.0,0.0,0.0,0.16,916.0,345.0,2.6
2022-01-01 05:30:00-08:00,2022,1,1,5,30,-2.1,-10.7,0.0,0.0,0.0,0.16,917.0,348.0,2.4000000000000004
2022-01-01 06:30:00-08:00,2022,1,1,6,30,-1.2000000000000002,-10.6,0.0,0.0,0.0,0.16,919.0,354.0,2.7
2022-01-01 07:30:00-08:00,2022,1,1,7,30,1.2000000000000002,-10.4,27.0,608.0,91.0,0.16,920.0,184.0,4.0
2022-01-01 08:30:00-08:00,2022,1,1,8,30,3.3000000000000003,-11.3,42.0,867.0,273.0,0.16,921.0,14.0,5.5
2022-01-01 09:30:00-08:00,2022,1,1,9,30,4.7,-12.8,53.0,962.0,433.0,0.16,922.0,21.0,5.7
2022-01-01 10:30:00-08:00,2022,1,1,10,30,5.9,-13.7,60.0,1003.0,544.0,0.16,921.0,25.0,5.4
2022-01-01 11:30:00-08:00,2022,1,1,11,30,6.9,-14.3,62.0,1022.0,594.0,0.16,921.0,28.0,5.0
2022-01-01 12:30:00-08:00,2022,1,1,12,30,7.6,-14.8,70.0,989.0,573.0,0.16,921.0,32.0,4.7
2022-01-01 13:30:00-08:00,2022,1,1,13,30,7.7,-15.3,57.0,988.0,498.0,0.16,921.0,37.0,4.4
2022-01-01 14:30:00-08:00,2022,1,1,14,30,7.0,-15.6,51.0,921.0,362.0,0.16,922.0,44.0,3.7
2022-01-01 15:30:00-08:00,2022,1,1,15,30,4.1000000000000005,-14.6,48.0,656.0,174.0,0.16,922.0,56.0,2.3000000000000003
2022-01-01 16:30:00-08:00,2022,1,1,16,30,1.0,-11.1,15.0,231.0,20.0,0.16,923.0,69.0,1.5
2022-01-01 17:30:00-08:00,2022,1,1,17,30,-0.4,-12.0,0.0,0.0,0.0,0.16,924.0,77.0,1.6
2022-01-01 18:30:00-08:00,2022,1,1,18,30,-1.3,-12.5,0.0,0.0,0.0,0.16,925.0,78.0,1.7000000000000002
2022-01-01 19:30:00-08:00,2022,1,1,19,30,-2.0,-12.9,0.0,0.0,0.0,0.16,926.0,74.0,1.8
2022-01-01 20:30:00-08:00,2022,1,1,20,30,-2.4000000000000004,-13.3,0.0,0.0,0.0,0.16,926.0,70.0,1.8
2022-01-01 21:30:00-08:00,2022,1,1,21,30,-2.5,-13.5,0.0,0.0,0.0,0.16,926.0,68.0,1.9
2022-01-01 22:30:00-08:00,2022,1,1,22,30,-2.7,-13.5,0.0,0.0,0.0,0.16,926.0,66.0,1.9
2022-01-01 23:30:00-08:00,2022,1,1,23,30,-2.9000000000000004,-13.6,0.0,0.0,0.0,0.16,926.0,64.0,1.9
2022-01-02 00:30:00-08:00,2022,1,2,0,30,-3.0,-13.7,0.0,0.0,0.0,0.16,926.0,63.0,1.9
2022-01-02 01:30:00-08:00,2022,1,2,1,30,-3.0,-13.9,0.0,0.0,0.0,0.16,926.0,62.0,2.0
2022-01-02 02:30:00-08:00,2022,1,2,2,30,-3.0,-14.0,0.0,0.0,0.0,0.16,926.0,63.0,2.1
2022-01-02 03:30:00-08:00,2022,1,2,3,30,-3.1,-14.1,0.0,0.0,0.0,0.16,926.0,66.0,2.2
2022-01-02 04:30:00-08:00,2022,1,2,4,30,-3.1,-14.3,0.0,0.0,0.0,0.16,926.0,68.0,2.4000000000000004
2022-01-02 05:30:00-08:00,2022,1,2,5,30,-3.1,-14.4,0.0,0.0,0.0,0.16,926.0,70.0,2.5
2022-01-02 06:30:00-08:00,2022,1,2,6,30,-2.4000000000000004,-14.4,0.0,0.0,0.0,0.16,927.0,71.0,3.1
2022-01-02 07:30:00-08:00,2022,1,2,7,30,-0.4,-14.8,28.0,581.0,89.0,0.16,927.0,71.0,4.1000000000000005
2022-01-02 08:30:00-08:00,2022,1,2,8,30,2.1,-16.0,41.0,853.0,268.0,0.16,928.0,72.0,4.3
2022-01-02 09:30:00-08:00,2022,1,2,9,30,4.4,-17.0,50.0,951.0,426.0,0.16,928.0,75.0,3.8
2022-01-02 10:30:00-08:00,2022,1,2,10,30,6.1000000000000005,-17.6,55.0,996.0,536.0,0.16,927.0,80.0,3.1
2022-01-02 11:30:00-08:00,2022,1,2,11,30,7.2,-17.8,56.0,1014.0,585.0,0.16,926.0,84.0,2.6
2022-01-02 12:30:00-08:00,2022,1,2,12,30,7.800000000000001,-17.8,57.0,1003.0,568.0,0.16,925.0,85.0,2.6
2022-01-02 13:30:00-08:00,2022,1,2,13,30,7.800000000000001,-17.6,68.0,912.0,477.0,0.16,924.0,86.0,2.8000000000000003
