,ac_output,dc_output
2022-01-01 00:30:00-08:00,0.0,
2022-01-01 01:30:00-08:00,0.0,
2022-01-01 02:30:00-08:00,0.0,
2022-01-01 03:30:00-08:00,0.0,
2022-01-01 04:30:00-08:00,0.0,
2022-01-01 05:30:00-08:00,0.0,
2022-01-01 06:30:00-08:00,0.0,
2022-01-01 07:30:00-08:00,44.297771138281675,46.05612819660513
2022-01-01 08:30:00-08:00,67.23064284362074,69.86249274169684
2022-01-01 09:30:00-08:00,73.99039948264566,76.91618891558875
2022-01-01 10:30:00-08:00,76.87716787904219,79.93360212851093
2022-01-01 11:30:00-08:00,76.98856572701571,80.05010303103104
2022-01-01 12:30:00-08:00,75.98544672079657,79.00119692995628
2022-01-01 13:30:00-08:00,73.67555356313335,76.58727985222251
2022-01-01 14:30:00-08:00,69.38663170649276,72.1104128997743
2022-01-01 15:30:00-08:00,59.42342198298586,61.736556031667114
2022-01-01 16:30:00-08:00,30.125139697998378,31.437773432943082
2022-01-01 17:30:00-08:00,0.0,
2022-01-01 18:30:00-08:00,0.0,
2022-01-01 19:30:00-08:00,0.0,
2022-01-01 20:30:00-08:00,0.0,
2022-01-01 21:30:00-08:00,0.0,
2022-01-01 22:30:00-08:00,0.0,
2022-01-01 23:30:00-08:00,0.0,
2022-01-02 00:30:00-08:00,0.0,
2022-01-02 01:30:00-08:00,0.0,
2022-01-02 02:30:00-08:00,0.0,
2022-01-02 03:30:00-08:00,0.0,
2022-01-02 04:30:00-08:00,0.0,
2022-01-02 05:30:00-08:00,0.0,
2022-01-02 06:30:00-08:00,0.0,
2022-01-02 07:30:00-08:00,41.62527603168913,43.294133358027324
2022-01-02 08:30:00-08:00,65.6706649602259,68.23705679357795
2022-01-02 09:30:00-08:00,72.80468279616186,75.67770003192932
2022-01-02 10:30:00-08:00,75.6941314073068,78.69665416147836
2022-01-02 11:30:00-08:00,76.26487594053904,79.29334331389487
2022-01-02 12:30:00-08:00,75.53063918588462,78.52575212489897
2022-01-02 13:30:00-08:00,73.753108632271,76.66829566845075
2022-01-02 14:30:00-08:00,70.24060951101525,73.00127478007771
2022-01-02 15:30:00-08:00,62.56799493124685,65.00683336367892
2022-01-02 16:30:00-08:00,35.990557879646296,37.47903154045943
2022-01-02 17:30:00-08:00,0.0,
2022-01-02 18:30:00-08:00,0.0,
2022-01-02 19:30:00-08:00,0.0,
2022-01-02 20:30:00-08:00,0.0,
2022-01-02 21:30:00-08:00,0.0,
2022-01-02 22:30:00-08:00,0.0,
2022-01-02 23:30:00-08:00,0.0,
2022-01-03 00:30:00-08:00,0.0,
2022-01-03 01:30:00-08:00,0.0,
2022-01-03 02:30:00-08:00,0.0,
